data type,model,init method,prune ratio,restore,mean,max,min,std
cifar10,fc3,kaiming_in,0.94,1,57.880000305175784,58.15999984741211,57.58000183105469,0.2756805737610951
cifar10,fc3,kaiming_in,0.96,0,56.2120002746582,56.709999084472656,55.93000030517578,0.30914365758726375
cifar10,fc3,kaiming_in,0.96,1,56.29399948120117,56.68000030517578,56.0099983215332,0.28970744720985475
cifar10,fc3,kaiming_in,0.98,0,50.705999755859374,51.84999847412109,49.93000030517578,0.7068445569957239
cifar10,fc3,kaiming_in,0.98,1,50.87199935913086,51.27999877929688,50.4900016784668,0.32782551390602965
cifar10,fc3,kaiming_out,0.8,0,61.82400054931641,61.970001220703125,61.5099983215332,0.20489125489428933
cifar10,fc3,kaiming_out,0.8,1,61.7879997253418,62.06999969482422,61.45000076293945,0.24863603383217528
cifar10,fc3,kaiming_out,0.82,0,61.716000366210935,62.119998931884766,61.459999084472656,0.26510311553666
cifar10,fc3,kaiming_out,0.82,1,61.694001007080075,61.9900016784668,61.33000183105469,0.2567683793053873
cifar10,fc3,kaiming_out,0.84,0,61.24599914550781,61.41999816894531,60.77000045776367,0.2718079111410229
cifar10,fc3,kaiming_out,0.84,1,61.27199935913086,61.540000915527344,60.79999923706055,0.2899485530614667
cifar10,fc3,kaiming_out,0.86,0,61.15400009155273,61.380001068115234,60.880001068115234,0.215243914267932
cifar10,fc3,kaiming_out,0.86,1,60.934000396728514,61.2400016784668,60.619998931884766,0.2536345487408927
cifar10,fc3,kaiming_out,0.88,0,60.32400054931641,60.5,59.95000076293945,0.2240088446124578
cifar10,fc3,kaiming_out,0.88,1,60.46399993896485,60.7400016784668,59.97999954223633,0.30810732331790724
cifar10,fc3,kaiming_out,0.9,0,59.74400024414062,60.150001525878906,59.45000076293945,0.2848332012736238
cifar10,fc3,kaiming_out,0.9,1,59.99400024414062,60.060001373291016,59.81999969482422,0.09990030813013556
