data type,model,init method,prune ratio,restore,number,best accuracy
cifar10,fc3_wobn,xavier,0.90,1,2,57.560001373291016
cifar10,fc3_wobn,xavier,0.80,0,5,58.13999938964844
cifar10,fc3_wobn,kaiming_out,0.86,0,2,57.849998474121094
cifar10,fc3_wobn,kaiming_out,0.94,1,2,56.90999984741211
cifar10,fc3_wobn,kaiming_in,0.84,1,2,58.0099983215332
cifar10,fc3_wobn,xavier,0.80,1,3,58.220001220703125
cifar10,fc3_wobn,kaiming_in,0.92,1,5,56.869998931884766
cifar10,fc3_wobn,kaiming_in,0.90,0,1,57.0
cifar10,fc3_wobn,xavier,0.84,1,1,58.25
cifar10,fc3_wobn,kaiming_out,0.82,0,3,57.380001068115234
cifar10,fc3_wobn,xavier,0.88,1,2,57.72999954223633
cifar10,fc3_wobn,kaiming_out,0.88,0,4,57.25
cifar10,fc3_wobn,xavier,0.94,1,1,56.63999938964844
cifar10,fc3_wobn,kaiming_out,0.96,1,3,55.0
cifar10,fc3_wobn,kaiming_out,0.84,0,1,57.90999984741211
cifar10,fc3_wobn,kaiming_out,0.86,1,4,58.380001068115234
cifar10,fc3_wobn,kaiming_in,0.98,1,4,50.13999938964844
cifar10,fc3_wobn,kaiming_in,0.94,1,4,57.0099983215332
cifar10,fc3_wobn,kaiming_out,0.80,0,5,57.720001220703125
cifar10,fc3_wobn,kaiming_in,0.98,1,1,49.61000061035156
cifar10,fc3_wobn,xavier,0.86,1,2,58.18000030517578
cifar10,fc3_wobn,kaiming_out,0.88,0,3,58.099998474121094
cifar10,fc3,kaiming_in,0.82,0,3,61.58000183105469
cifar10,fc3,kaiming_out,0.84,0,3,61.29999923706055
cifar10,fc3,xavier,0.86,0,5,61.47999954223633
cifar10,fc3,xavier,0.98,0,2,51.900001525878906
cifar10,fc3,kaiming_out,0.98,1,5,51.2400016784668
cifar10,fc3,kaiming_out,0.94,0,5,57.79999923706055
cifar10,fc3,xavier,0.82,1,3,61.5099983215332
cifar10,fc3,xavier,0.92,1,4,58.849998474121094
cifar10,fc3,kaiming_out,0.96,0,5,56.209999084472656
cifar10,fc3,kaiming_out,0.98,1,4,51.33000183105469
cifar10,fc3,kaiming_out,0.86,1,5,60.619998931884766
cifar10,fc3,kaiming_out,0.92,0,4,59.09000015258789
cifar10,fc3,xavier,0.96,1,4,56.02000045776367
cifar10,fc3,kaiming_out,0.80,1,1,61.619998931884766
cifar10,fc3,xavier,0.82,1,2,62.130001068115234
cifar10,fc3,kaiming_out,0.90,1,4,59.81999969482422
cifar10,fc3,xavier,0.80,0,1,61.709999084472656
cifar10,fc3,kaiming_in,0.86,0,3,61.36000061035156
cifar10,fc3,kaiming_out,0.92,1,2,59.15999984741211
cifar10,fc3,kaiming_in,0.86,1,4,60.709999084472656
cifar10,fc3,kaiming_in,0.90,1,2,59.869998931884766
