data type,model,init method,prune ratio,restore,mean,max,min,std
cifar10,conv3,kaiming_out,0.88,0,45.79000015258789,48.0,42.380001068115234,2.22460053584878
cifar10,conv3,kaiming_out,0.88,1,53.273999786376955,54.04999923706055,52.06999969482422,0.8242751273859006
cifar10,conv3,kaiming_out,0.88,2,47.04999923706055,48.2400016784668,44.619998931884766,1.4394101481888493
cifar10,conv3,kaiming_out,0.88,3,53.630000305175784,54.40999984741211,52.540000915527344,0.7310264086470278
cifar10,conv3,kaiming_out,0.9,0,45.55999908447266,47.66999816894531,43.369998931884766,1.7290460020073346
cifar10,conv3,kaiming_out,0.9,1,52.039999389648436,53.22999954223633,51.04999923706055,0.8229214770473695
cifar10,conv3,kaiming_out,0.9,2,44.592000579833986,46.650001525878906,41.95000076293945,1.8372049283358287
cifar10,conv3,kaiming_out,0.9,3,51.79199981689453,52.9900016784668,50.47999954223633,0.914478825879203
cifar10,conv3,kaiming_out,0.92,0,44.060000610351565,46.900001525878906,42.150001525878906,1.8482157174412839
cifar10,conv3,kaiming_out,0.92,1,49.6740005493164,50.15999984741211,49.27000045776367,0.34630879742340825
cifar10,conv3,kaiming_out,0.92,2,43.182000732421876,43.86000061035156,42.18000030517578,0.6801621617336492
cifar10,conv3,kaiming_out,0.92,3,48.966000366210935,49.70000076293945,48.29999923706055,0.5984815427510719
cifar10,conv3,kaiming_out,0.94,0,41.087999725341795,42.27000045776367,39.959999084472656,0.8760256059468773
cifar10,conv3,kaiming_out,0.94,1,45.78200073242188,46.63999938964844,44.630001068115234,0.8161920615608081
cifar10,conv3,kaiming_out,0.94,2,40.50999984741211,42.900001525878906,37.31999969482422,2.0611289647312874
cifar10,conv3,kaiming_out,0.94,3,44.53000030517578,45.189998626708984,44.02000045776367,0.47560399333793857
cifar10,conv3,kaiming_out,0.96,0,37.15199966430664,38.189998626708984,36.060001373291016,0.8399811477370407
cifar10,conv3,kaiming_out,0.96,1,40.954000854492186,41.77000045776367,39.95000076293945,0.8211450799030773
cifar10,conv3,kaiming_out,0.96,2,36.11599960327148,38.220001220703125,33.04999923706055,1.912467559020933
cifar10,conv3,kaiming_out,0.96,3,40.815999603271486,41.869998931884766,39.540000915527344,0.8622812865778196
cifar10,conv3,kaiming_out,0.98,0,28.104000091552734,29.219999313354492,26.790000915527344,0.9013761921022191
cifar10,conv3,kaiming_out,0.98,1,29.15999984741211,31.469999313354492,23.239999771118164,3.4488983617369637
cifar10,conv3,kaiming_out,0.98,2,23.95199966430664,27.399999618530273,20.149999618530273,2.7466015380696485
cifar10,conv3,kaiming_out,0.98,3,30.637999725341796,31.989999771118164,28.059999465942383,1.5318519379753226
cifar10,conv3,xavier,0.8,0,60.1120002746582,60.869998931884766,59.36000061035156,0.5418664610660006
cifar10,conv3,xavier,0.8,1,60.32400054931641,60.77000045776367,59.959999084472656,0.37132223270528836
cifar10,conv3,xavier,0.8,2,60.27200012207031,60.59000015258789,59.849998474121094,0.37278713818704606
cifar10,conv3,xavier,0.8,3,60.39400024414063,61.029998779296875,59.150001525878906,0.7945622782522392
cifar10,conv3,xavier,0.82,0,58.737999725341794,59.599998474121094,57.959999084472656,0.6467375976890354
cifar10,conv3,xavier,0.82,1,58.73999938964844,59.66999816894531,57.790000915527344,0.7957385268820794
cifar10,conv3,xavier,0.82,2,59.35199966430664,60.56999969482422,58.18000030517578,0.8860979046430467
cifar10,conv3,xavier,0.82,3,59.56399993896484,60.29999923706055,59.0099983215332,0.505598887295154
cifar10,conv3,xavier,0.84,0,57.5640007019043,58.470001220703125,56.77000045776367,0.7018410436314629
cifar10,conv3,xavier,0.84,1,57.16600036621094,57.56999969482422,56.58000183105469,0.4413943862497647
cifar10,conv3,xavier,0.84,2,57.07199935913086,57.779998779296875,55.7400016784668,0.8567194239589477
cifar10,conv3,xavier,0.84,3,57.39200057983398,58.130001068115234,56.58000183105469,0.5790675412927715
cifar10,conv3,xavier,0.86,0,56.06800003051758,57.27000045776367,55.130001068115234,0.7837856359341038
